flight_id,flight_no,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,departure_airport,arrival_airport,aircraft_code,status,base_fare_economy
1,AC1000,2025-05-21 12:15:00,2025-05-21 15:27:00,2025-05-21 12:15:00,2025-05-21 15:27:00,DXB,DEL,321,On Time,734.75
2,AC1001,2025-08-05 06:00:00,2025-08-05 08:42:00,2025-08-05 06:00:00,2025-08-05 08:42:00,CDG,JFK,388,On Time,619.68
3,AC1002,2025-11-29 22:45:00,2025-11-30 03:03:00,2025-11-29 22:45:00,2025-11-30 03:03:00,CDG,BOM,738,On Time,791.83
4,AC1003,2025-03-23 18:30:00,2025-03-23 23:30:00,2025-03-23 18:30:00,2025-03-23 23:30:00,JFK,LAX,CR9,On Time,753.7
5,AC1004,2025-02-19 16:30:00,2025-02-20 01:30:00,2025-02-19 20:06:00,2025-02-20 05:06:00,LAX,JFK,789,Delayed,501.32
6,AC1005,2025-02-10 22:30:00,2025-02-11 10:24:00,2025-02-10 22:30:00,2025-02-11 10:24:00,LAX,ORD,789,On Time,835.22
7,AC1006,2025-02-05 06:15:00,2025-02-05 17:27:00,2025-02-05 06:15:00,2025-02-05 17:27:00,CDG,JNB,738,Arrived,829.91
8,AC1007,2025-05-23 19:30:00,2025-05-23 23:00:00,2025-05-23 19:30:00,2025-05-23 23:00:00,GRU,ORD,789,On Time,676.25
9,AC1008,2025-11-28 07:15:00,2025-11-28 15:27:00,2025-11-28 07:15:00,2025-11-28 15:27:00,SIN,ATL,738,On Time,503.68
10,AC1009,2025-12-19 22:15:00,2025-12-20 08:21:00,2025-12-20 02:03:00,2025-12-20 12:09:00,DFW,JNB,738,Delayed,166.43
11,AC1010,2025-06-11 17:30:00,2025-06-11 19:48:00,,,SYD,LAX,CR9,Cancelled,590.76
12,AC1011,2025-12-02 20:45:00,2025-12-03 09:21:00,2025-12-02 20:45:00,2025-12-03 09:21:00,SIN,HKG,32N,On Time,238.58
13,AC1012,2025-10-15 22:30:00,2025-10-16 09:18:00,2025-10-15 22:30:00,2025-10-16 09:18:00,LAX,DXB,738,On Time,604.33
14,AC1013,2025-09-18 20:00:00,2025-09-19 06:54:00,2025-09-18 21:09:00,2025-09-19 08:03:00,BOM,ORD,32N,Delayed,640.78
15,AC1014,2025-11-02 07:45:00,2025-11-02 14:03:00,2025-11-02 07:45:00,2025-11-02 14:03:00,NRT,ORD,789,Arrived,559.16
16,AC1015,2025-01-06 08:30:00,2025-01-06 19:36:00,2025-01-06 08:30:00,2025-01-06 19:36:00,AMS,LAX,CR9,On Time,363.61
17,AC1016,2025-05-15 21:15:00,2025-05-16 05:03:00,2025-05-15 21:15:00,2025-05-16 05:03:00,ORD,ATL,321,On Time,639.0
18,AC1017,2025-11-08 11:15:00,2025-11-08 17:27:00,2025-11-08 11:15:00,2025-11-08 17:27:00,SYD,SIN,388,On Time,911.4
19,AC1018,2025-11-03 15:45:00,2025-11-03 17:27:00,2025-11-03 19:41:00,2025-11-03 21:23:00,JNB,YYZ,321,Delayed,375.24
20,AC1019,2025-02-10 07:45:00,2025-02-10 19:27:00,2025-02-10 07:45:00,2025-02-10 19:27:00,JFK,CDG,388,Arrived,562.15
21,AC1020,2025-09-01 22:15:00,2025-09-02 03:03:00,2025-09-02 00:33:00,2025-09-02 05:21:00,LAX,ORD,738,Delayed,920.42
22,AC1021,2025-12-20 11:30:00,2025-12-20 18:00:00,2025-12-20 11:30:00,2025-12-20 18:00:00,YYZ,ORD,CR9,On Time,429.94
23,AC1022,2025-03-03 12:15:00,2025-03-03 14:33:00,2025-03-03 12:15:00,2025-03-03 14:33:00,JNB,ATL,789,On Time,579.75
24,AC1023,2025-02-06 06:15:00,2025-02-06 08:33:00,2025-02-06 06:15:00,2025-02-06 08:33:00,FRA,JFK,321,On Time,394.26
25,AC1024,2025-12-09 20:15:00,2025-12-10 04:27:00,2025-12-09 20:15:00,2025-12-10 04:27:00,LHR,DXB,77W,On Time,852.38
26,AC1025,2025-08-31 18:15:00,2025-08-31 20:57:00,2025-08-31 18:15:00,2025-08-31 20:57:00,CDG,GRU,32N,On Time,414.07
27,AC1026,2025-01-28 08:00:00,2025-01-28 14:30:00,2025-01-28 08:00:00,2025-01-28 14:30:00,BOM,DXB,CR9,On Time,835.19
28,AC1027,2025-10-02 19:15:00,2025-10-03 02:03:00,2025-10-02 19:15:00,2025-10-03 02:03:00,DFW,ATL,32N,On Time,327.34
29,AC1028,2025-10-09 08:00:00,2025-10-09 17:42:00,2025-10-09 08:00:00,2025-10-09 17:42:00,JNB,AMS,789,On Time,132.25
30,AC1029,2025-05-02 10:45:00,2025-05-02 18:21:00,2025-05-02 10:45:00,2025-05-02 18:21:00,JFK,AMS,CR9,On Time,452.86
31,AC1030,2025-01-02 17:30:00,2025-01-03 06:36:00,2025-01-02 19:13:00,2025-01-03 08:19:00,JFK,CDG,789,Delayed,471.1
32,AC1031,2025-10-12 20:15:00,2025-10-13 00:09:00,2025-10-12 20:15:00,2025-10-13 00:09:00,YYZ,GRU,CR9,On Time,168.54
33,AC1032,2025-06-10 06:00:00,2025-06-10 14:48:00,2025-06-10 06:00:00,2025-06-10 14:48:00,SIN,SYD,321,On Time,827.76
34,AC1033,2025-02-11 10:00:00,2025-02-11 18:54:00,2025-02-11 10:00:00,2025-02-11 18:54:00,ORD,ATL,388,On Time,315.22
35,AC1034,2025-05-07 06:00:00,2025-05-07 12:42:00,2025-05-07 06:00:00,2025-05-07 12:42:00,LAX,JFK,388,On Time,553.91
36,AC1035,2025-12-09 15:15:00,2025-12-09 20:03:00,2025-12-09 15:15:00,2025-12-09 20:03:00,YYZ,BOM,32N,On Time,655.77
37,AC1036,2025-02-07 05:45:00,2025-02-07 15:03:00,2025-02-07 05:45:00,2025-02-07 15:03:00,BLR,CDG,CR9,On Time,202.98
38,AC1037,2025-05-16 09:30:00,2025-05-16 22:00:00,2025-05-16 11:34:00,2025-05-17 00:04:00,LHR,YYZ,388,Delayed,356.54
39,AC1038,2025-12-27 14:00:00,2025-12-27 23:48:00,2025-12-27 14:00:00,2025-12-27 23:48:00,BLR,DEL,388,On Time,893.36
40,AC1039,2025-05-16 08:00:00,2025-05-16 18:48:00,2025-05-16 08:00:00,2025-05-16 18:48:00,LAX,JFK,32N,On Time,353.86
41,AC1040,2025-04-15 13:45:00,2025-04-15 18:21:00,2025-04-15 14:28:00,2025-04-15 19:04:00,ATL,ORD,77W,Delayed,196.61
42,AC1041,2025-01-23 05:30:00,2025-01-23 16:36:00,2025-01-23 05:30:00,2025-01-23 16:36:00,BOM,JNB,77W,On Time,337.42
43,AC1042,2025-12-28 18:00:00,2025-12-28 20:54:00,,,SIN,JNB,388,Cancelled,693.55
44,AC1043,2025-07-09 22:15:00,2025-07-10 05:09:00,2025-07-09 22:15:00,2025-07-10 05:09:00,LAX,GRU,321,On Time,422.66
45,AC1044,2025-01-21 16:15:00,2025-01-22 02:15:00,2025-01-21 16:15:00,2025-01-22 02:15:00,YYZ,DEL,CR9,On Time,413.55
46,AC1045,2025-07-28 09:15:00,2025-07-28 21:33:00,2025-07-28 09:15:00,2025-07-28 21:33:00,CDG,DEL,CR9,Arrived,792.94
